cycle_idx,capacity,capacity_local_slope,capacity_smooth,capacity_residual,I_error_abs_mean,I_error_abs_std,I_error_abs_range,V_error_abs_mean,V_error_abs_std,V_error_abs_range
2,1.8564874208181572,-0.0013971078646350943,1.8477969567155796,0.008690464102577566,0.013162223226647389,0.004026028034180865,0.019620365422544642,1.1250393382320185,0.6845931926253701,4.1762408752813975
4,1.846327249719927,-0.001391307286078891,1.8450027409863095,0.0013245087336175576,0.013108054712835819,0.004022690135668217,0.018468095480571194,1.1382141953341431,0.6860741350435396,4.174654594125707
6,1.835349194223408,-0.0013854080210766173,1.842231727571264,-0.006882533347856157,0.013009617234844067,0.00411442199143038,0.01827860106719164,1.1459295658268374,0.6939932305449754,4.172385074384877
8,1.8352625275821128,-0.001388344668049546,1.839461108902003,-0.004198581319890149,0.012793170570871329,0.003978104109187454,0.017500058634309503,1.1355346411758762,0.6738336227953103,4.173213329029701
10,1.8346455082120416,-0.0013932705035593074,1.836678348899066,-0.002032840687024251,0.013303766740783774,0.0040199265019387614,0.01918049114280854,1.1339990801839293,0.6709600752002931,4.172683255639972
12,1.8356616600675493,-0.0013894042211520796,1.8338880268877658,0.001773633179783518,0.013299288720719874,0.004093886615857828,0.017536974217469744,1.1452379222318627,0.6842298792807532,4.173755017230852
14,1.8351461429226603,-0.0013567806809390293,1.8311207320144576,0.004025410908202742,0.013254737500878971,0.004080693834464951,0.0172791143980704,1.1465355959151322,0.6805708718036826,4.173113363196701
16,1.8257567905665535,-0.0012858286033703425,1.8284609041640096,-0.002704113597456148,0.013559461865145454,0.003927820214777971,0.018238054667604277,1.1196618476969373,0.6436995703906923,4.1739512810057615
18,1.8247738529891333,-0.0012818765261614073,1.8259774176009762,-0.0012035646118429,0.013577764964995579,0.00384861964189181,0.02014998185111461,1.1045887757591542,0.6216551682362269,4.173477472708002
20,1.824613268496936,-0.0013686585205828772,1.823333398059364,0.0012798704375720504,0.013195581212895272,0.0036444533244293334,0.017728746148332104,1.1017142379984275,0.6192399403679625,4.173915351307276
22,1.8246195526864504,-0.001415489450682622,1.8205027835186447,0.004116769167805678,0.013193015288202683,0.0036077116433460292,0.017863263482640248,1.0892268936926557,0.5954559084742549,4.174098817475024
25,1.814201935767392,-0.0013766972144731993,1.8162554953551435,-0.0020535595877515522,0.013681204082854594,0.0037422428924942536,0.01863027036940362,1.0841282272664783,0.5869209606362019,4.173874128529851
27,1.8137521577549052,-0.0013285276939963286,1.8135541882684556,0.00019796948644956736,0.013364877779223969,0.0035628545917295086,0.018140999030555587,1.064969586754552,0.5625715297475871,4.17373835654087
29,1.8134404914735824,-0.0012681254356496363,1.8109413845791582,0.00249910689442423,0.013309247567192723,0.003444330929769168,0.017292121315380434,1.062792970564716,0.5609346774860003,4.173970211416277
31,1.8025980036306504,-0.0012417698966221136,1.808481686525857,-0.005883682895206688,0.01323241995028323,0.0035793955128908604,0.021021181560674264,1.069397433275451,0.5731356557065553,4.174428390408296
33,1.80210690024615,-0.0012155715792129818,1.8059743049926698,-0.003867404746519698,0.013511952300956403,0.0033707529645319034,0.017892962480527196,1.0582417336721,0.5468710670672282,4.17357273490843
35,1.802579500826209,-0.0006033049147621816,1.8036194002090051,-0.001039899382796028,0.013752835831107816,0.0032765245384454742,0.01807169976268942,1.0467332789815975,0.5188371966358161,4.174102288732168
37,1.8030683142834096,0.0005027724655751742,1.803561085333621,-0.0004927710502113936,0.013928949329772511,0.00321746345079369,0.019777983719244326,1.0304074191378363,0.49055183996955315,4.174024935070625
39,1.802777624719604,0.0012506903679920522,1.8056304900713058,-0.0028528653517019276,0.013811438811395089,0.003260854201489198,0.018125317512564902,1.0287323805852577,0.48948803823828874,4.173822196289993
42,1.8470259949329195,0.0012602702321810044,1.8103545071714557,0.036671487761463784,0.01330552701337308,0.0038563662807916473,0.01855215448509062,1.1038726843582405,0.6089129208060418,4.172438623086722
46,1.847417311283644,0.0006129356163678268,1.8137187767159895,0.03369853456765459,0.013257146937236777,0.0035822800348470963,0.01779129450417205,1.0786536605788213,0.5627176039182555,4.1728811766430844
50,1.8361774213478947,0.00037937792724276886,1.8152579921023984,0.02091942924549639,0.013099144665150211,0.003509505170943581,0.018497071963960877,1.0769265474525547,0.5754257105921903,4.171425113951721
54,1.825780747577624,0.00039541463156886336,1.8167538001339316,0.009026947443692368,0.013299503676155098,0.0034077751753046367,0.017600149884530774,1.0691242200152407,0.5636599878162973,4.172064871356953
58,1.8251136435078368,0.00038590373937269495,1.8184213091549493,0.006692334352887519,0.013306668800652809,0.0034824104651981916,0.01897712716067718,1.0775137321372923,0.5817466651260172,4.172062076219987
62,1.825581504220376,-7.114458455292905e-05,1.8198410300489132,0.005740474171462839,0.013508842888966404,0.003035055215845505,0.0179104218085903,1.0296367882820952,0.4835704828519652,4.171684825674959
66,1.814031127508391,-0.0006587398333084971,1.8178521524785258,-0.003821024970134923,0.013503497478167899,0.0031747901976298494,0.0184406606950261,1.0476112591215407,0.5215358661096686,4.172518090553509
70,1.8147691941158937,-0.0006821039108133031,1.8145711113824452,0.00019808273344845695,0.013533634693261942,0.003459531360982262,0.02632710370680418,1.0301648743092102,0.4895757001532682,4.171060586871392
74,1.813969388710352,-0.00042946196368290335,1.8123953211920194,0.001574067518332667,0.013683330334259858,0.003224697837872041,0.019056767782594585,1.0293376664845846,0.4871237637267148,4.171404464224884
78,1.802765665167823,-0.00033693914375543255,1.811135415672982,-0.00836975050515898,0.013643256816586074,0.0033807550185102307,0.018518726468646777,1.0508260333733148,0.523854321079655,4.172328995011735
82,1.804077040117352,-0.000443801589173759,1.809699808041976,-0.005622767924623906,0.013687051590659912,0.0032438730213852104,0.01773964379123872,1.0379926105953197,0.49238195951400704,4.172144592473
